url,Content-Security-Policy,Strict-Transport-Security,X-XSS-Protection,X-Frame-Options,X-Content-Type-Options,Referrer-Policy,Expect-CT,Cross-Origin-Opener-Policy,Public-Key-Pins,X-AspNetMvc-Version,Federated-Learning-Of-Cohorts,X-DNS-Prefetch-Control,Cross-Origin-Resource-Policy,Cross-Origin-Embedder-Policy,Content-Type,Access-Control-Allow-Origin,Using IP,Symbol,Redirecting,HTTPS,Anchor URL,Website Traffic,Long URL,Short URL,label
https://lbkn4a.webwave.dev/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,-1,0,1,0,-1
https://cpnfr5.webwave.dev/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,-1,0,1,0,-1
https://docs.google.com/presentation/d/e/2PACX-1vSY7ryaWB4MS0eRwpEvazzEtKAqjo5D7ApeLF318DGt5GvfDzbauLAUJGQM-_kTZmXuwS_YpdABOEo9/pub?start=false&loop=false&delayms=3000&slide=id.p,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,-1,0,-1
https://new.express.adobe.com/webpage/WfubpM5zTdYZk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,1,0,-1
https://pub-fd64d7c28cd04a1baba8927daad1a552.r2.dev/index.html,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,0,0,-1
https://new.express.adobe.com/webpage/TBcknpdEvoN5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,1,0,-1
https://docs.google.com/presentation/d/e/2PACX-1vTYaRwsEFCbBpVKAXbm8yjeVMtzsyC-7EMThJBLyXHaVN9Ljwl84KADyM4TdKLUwFld0z6nwZ9OM7qb/pub?start=false&loop=false&delayms=3000,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,-1,0,-1
https://docs.google.com/forms/d/e/1FAIpQLSetmJFuIXrHQ7Ti39-sV-5zxn2yBW6dUX5s69sH9jP62PAFpg/viewform,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,-1,0,-1
https://pub-22a0e3211ec143b28b12c2486e7592bb.r2.dev/isc.html#abc@example.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,1,-1,0,-1,0,-1
https://cloudflare-ipfs.com/ipfs/QmUKdBNh7aZ6Ukz5goinmo26miRdpJUHk6QBiFTav5aNqe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,-1,0,-1,0,-1
https://heyform.net/f/ab6VBRns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,1,0,-1
https://heyform.net/f/62EAFp6Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,1,0,-1
https://bafybeifdsyphjnpduqtbnaji4f3vk2f3qvr2txxske4uv4n4l674qbtydy.ipfs.cf-ipfs.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,-1,0,-1,0,-1
https://cf-ipfs.com/ipfs/QmZMDvucViiPZk8e4quUCEisPLWfyrbVdDhsFynJgr3S5s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1,1,-1,0,0,0,-1
